aaaaaaaaactivomediaNombre: aaa ,Descripcion: aaaa ,Número de serie a ,Estado activo ,Prioridad media . 
Nombre: alvaro ,Descripcion: asadasdasdsad ,Número de serie asdasdas ,Estado activo ,Prioridad alta . 
Nombre: alvaro ,Descripcion: asadasdasdsad ,Número de serie asdasdas ,Estado activo ,Prioridad alta . 
Nombre: No Sobreescribe ,Descripcion: en principio bien ,Número de serie está borrao ,Estado inactivo ,Prioridad baja . 
Nombre: No Sobreescribe ,Descripcion: en principio bien ,Número de serie esta borrao ,Estado inactivo ,Prioridad baja . 
Nombre: angfelglwgee ,Descripcion: wefwf ,Número de serie wefw ,Estado activo ,Prioridad alta . 
Nombre:  ,Descripcion:  ,Número de serie  ,Estado  ,Prioridad  . 
Nombre: claudia ,Descripcion: la fea ,Número de serie 123123123 ,Estado activo ,Prioridad alta . 
Nombre: aasaas ,Descripcion: asa ,Número de serie asas ,Estado inactivo ,Prioridad baja . 

{"nombre":"clasiajsadas","descripcion":"d23dq","numero de serie":"dadasdadasasdas","estado":"activo","prioridad":"media"}{"nombre":"asdas","descripcion":"asdasd","numero de serie":"3","estado":"activo","prioridad":"media"}{"nombre":"asdas","descripcion":"asdasd","numero de serie":"3","estado":"activo","prioridad":"media\r\n"}{"nombre":"wew","descripcion":"ewewe","numero de serie":"we","estado":"activo","prioridad":"media\r\n"}{"nombre":"asdfsdf","descripcion":"sdfdsf","numero de serie":"sdf","estado":"activo","prioridad":"media"}{"nombre":null,"descripcion":null,"numero de serie":null,"estado":null,"prioridad":null}
{"nombre":"sdsfsf","descripcion":"sdssd","numero de serie":"ss","estado":"inactivo","prioridad":"alta"}
{"nombre":"alvaro","descripcion":"asfdasdasdas","numero de serie":"asdasd","estado":"activo","prioridad":"alta"}
